"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleep","06:00:00","6.0","0.0"
"Breakfast","(Without client)","Breakfast","00:55:34","0.9261111111111111","0.0"
"Classes","(Without client)","Math class","00:48:38","0.8105555555555556","0.0"
"Classes","(Without client)","Class","00:48:26","0.8072222222222222","0.0"
"Compsci Class","(Without client)","Compsci Class","00:59:00","0.9833333333333333","0.0"
"Dance Practice - Choreographing","(Without client)","Dance practice","01:40:00","1.6666666666666667","0.0"
"Dinner","(Without client)","Dinner with friends","00:39:00","0.65","0.0"
"Lunch","(Without client)","Lunch2","00:06:08","0.10222222222222223","0.0"
"Lunch","(Without client)","Lunch1","00:20:00","0.3333333333333333","0.0"
"Miscellaneous/Unindentified","(Without client)","Showering?","00:40:00","0.6666666666666666","0.0"
"Miscellaneous/Unindentified","(Without client)","IDK","01:00:00","1.0","0.0"
"Morning/Nighttime routine","(Without client)","Face masks","00:17:00","0.2833333333333333","0.0"
"Office Hours","(Without client)","Compsci office hours","00:29:00","0.48333333333333334","0.0"
"School work","(Without client)","Study session ~ homework due","03:50:00","3.8333333333333335","0.0"
"Socializing","(Without client)","Socializing","01:05:00","1.0833333333333333","0.0"
"Work shift","(Without client)","Work shift","01:30:00","1.5","0.0"
"Work shift","(Without client)","TA-ing","00:50:00","0.8333333333333334","0.0"
