"Project","Client","Description","Time (h)","Time (decimal)","Amount (USD)"
"Bedtime/Sleep","(Without client)","Sleeping","07:30:00","7.5","0.0"
"Clubs","(Without client)","Club","00:38:00","0.6333333333333333","0.0"
"Dinner","(Without client)","Dinner","01:03:00","1.05","0.0"
"Lunch","(Without client)","Lunch break","01:13:00","1.2166666666666666","0.0"
"Miscellaneous/Unindentified","(Without client)","(Without description)","00:30:00","0.5","0.0"
"Off Campus Time","(Without client)","Out","01:00:00","1.0","0.0"
"Personal work","(Without client)","Work","02:02:00","2.033333333333333","0.0"
"Personal work","(Without client)","Blogging","01:36:00","1.6","0.0"
"School work","(Without client)","Nothing","01:00:00","1.0","0.0"
"School work","(Without client)","Study session","01:10:09","1.1691666666666667","0.0"
"School work","(Without client)","youtube videos on what I study","00:15:00","0.25","0.0"
"Socializing","(Without client)","Socializing","03:20:00","3.3333333333333335","0.0"
